"Device UUID","Device Name","Policy Setting","Compliance Status","Policy","Policy Path"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers","Computer Configuration/Administrative Templates/MSS (Legacy)"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes","Computer Configuration/Administrative Templates/MSS (Legacy)"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)","Computer Configuration/Administrative Templates/MSS (Legacy)"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)","Computer Configuration/Administrative Templates/MSS (Legacy)"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)","Computer Configuration/Administrative Templates/MSS (Legacy)"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Modify firmware environment values","Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Modify an object label","Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Minimum password age","Computer Configuration/Windows Settings/Security Settings/Account Policies/Password Policy"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Profile system performance","Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Prohibit connection to non-domain networks when connected to domain authenticated network","Computer Configuration/Administrative Templates/Network/Windows Connection Manager"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Prohibit installation and configuration of Network Bridge on your DNS domain network","Computer Configuration/Administrative Templates/Network/Network Connections"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn on e-mail scanning","Computer Configuration/Administrative Templates/Windows Components/Windows Defender Antivirus/Scan"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Turn on convenience PIN sign-in","Computer Configuration/Administrative Templates/System/Logon"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn on behavior monitoring","Computer Configuration/Administrative Templates/Windows Components/Windows Defender Antivirus/Real-time Protection"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Turn off Windows Defender Antivirus","Computer Configuration/Administrative Templates/Windows Components/Windows Defender Antivirus"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn off toast notifications on the lock screen","User Configuration/Administrative Templates/Start Menu and Taskbar/Notifications"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn off the offer to update to the latest version of Windows","Computer Configuration/Administrative Templates/Windows Components/Store"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Turn off shell protocol protected mode","Computer Configuration/Administrative Templates/Windows Components/File Explorer"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn off picture password sign-in","Computer Configuration/Administrative Templates/System/Logon"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn off multicast name resolution","Computer Configuration/Administrative Templates/Network/DNS Client"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn off Microsoft consumer experiences","Computer Configuration/Administrative Templates/Windows Components/Cloud Content"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn off Internet download for Web publishing and online ordering wizards","Computer Configuration/Administrative Templates/System/Internet Communication Management/Internet Communication settings"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Turn off heap termination on corruption","Computer Configuration/Administrative Templates/Windows Components/File Explorer"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn off downloading of print drivers over HTTP","Computer Configuration/Administrative Templates/System/Internet Communication Management/Internet Communication settings"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Turn off Data Execution Prevention for Explorer","Computer Configuration/Administrative Templates/Windows Components/File Explorer"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Turn off background refresh of Group Policy","Computer Configuration/Administrative Templates/System/Group Policy"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Turn on PowerShell Script Block Logging","Computer Configuration/Administrative Templates/Windows Components/Windows PowerShell"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn off Autoplay","Computer Configuration/Administrative Templates/Windows Components/AutoPlay Policies"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Turn on PowerShell Transcription","Computer Configuration/Administrative Templates/Windows Components/Windows PowerShell"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","User Account Control: Admin Approval Mode for the Built-in Administrator account","Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Xbox Live Auth Manager (XblAuthManager)","Computer Configuration/Windows Settings/Security Settings/System Services"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Xbox Accessory Management Service (XboxGipSvc)","Computer Configuration/Windows Settings/Security Settings/System Services"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","World Wide Web Publishing Service (W3SVC)","Computer Configuration/Windows Settings/Security Settings/System Services"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Windows Mobile Hotspot Service (icssvc)","Computer Configuration/Windows Settings/Security Settings/System Services"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Windows Media Player Network Sharing Service (WMPNetworkSvc)","Computer Configuration/Windows Settings/Security Settings/System Services"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Windows Defender Firewall with Advanced Security - Local Group Policy Object","Computer Configuration/Windows Settings/Security Settings/Windows Defender Firewall with Advanced Security"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Web Management Service (WMSvc)","Computer Configuration/Windows Settings/Security Settings/System Services"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","WDigest Authentication (disabling may require KB2871997)","Computer Configuration/Administrative Templates/MS Security Guide"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","User Account Control: Virtualize file and registry write failures to per-user locations","Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","User Account Control: Switch to the secure desktop when prompting for elevation","Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","User Account Control: Run all administrators in Admin Approval Mode","Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","User Account Control: Only elevate UIAccess applications that are installed in secure locations","Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","User Account Control: Detect application installations and prompt for elevation","Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options"
